id,arquivo,palavra_alvo,marca,acento_presente,base_legivel,observacao,_metrica_categoria,_metrica_e1_escore,_metrica_e2_cer
0,real_acc_0018.png,artística,agudo,,,,acerto,1.43636,0.4444444444444444
1,real_acc_0032.png,prevê,circunflexo,,,,degradacao_sem_diacritico,0.07937,0.8
2,real_acc_0006.png,econômico,circunflexo,,,,omissao_do_acento,0.11203,0.1111111111111111
3,real_acc_0010.png,aquisição,cedilha,,,,degradacao_sem_diacritico,0.0694,0.7777777777777778
4,real_acc_0001.png,elucidação,cedilha,,,,omissao_do_acento,0.06452,0.2
5,real_acc_0080.png,populações,cedilha,,,,degradacao_sem_diacritico,0.06429,0.7
6,real_acc_0043.png,Saúde,agudo,,,,degradacao_sem_diacritico,0.0,0.8
7,real_acc_0098.png,lização,cedilha,,,,degradacao_sem_diacritico,0.0,1.1428571428571428
8,real_acc_0084.png,doenças,cedilha,,,,degradacao_sem_diacritico,0.03577,1.0
9,real_acc_0102.png,educação,cedilha,,,,degradacao_com_diacritico,0.13178,1.375
10,real_acc_0034.png,moção,til,,,,degradacao_com_diacritico,0.49164,0.6
11,real_acc_0023.png,avanços,cedilha,,,,degradacao_sem_diacritico,0.02547,0.7142857142857143
12,real_acc_0067.png,está,agudo,,,,degradacao_com_diacritico,0.13514,1.75
13,real_acc_0031.png,população,cedilha,,,,acerto,0.40102,0.4444444444444444
14,real_acc_0083.png,indivíduos,agudo,,,,omissao_do_acento,0.07301,0.3
15,real_acc_0030.png,cinematográficas,agudo,,,,acerto,0.16011,0.4375
16,real_acc_0075.png,resistência,circunflexo,,,,acerto,0.26024,0.2727272727272727
17,real_acc_0060.png,contribuírem,agudo,,,,acerto,0.27564,0.3333333333333333
18,real_acc_0078.png,zofrênia,circunflexo,,,,degradacao_com_diacritico,0.24069,1.0
19,real_acc_0033.png,política,agudo,,,,acerto,1.09504,0.375
20,real_acc_0009.png,psíquicos,agudo,,,,degradacao_com_diacritico,0.39194,0.7777777777777778
21,real_acc_0040.png,disponibilização,cedilha,,,,acerto,0.40136,0.5
22,real_acc_0119.png,convivência,circunflexo,,,,degradacao_com_diacritico,0.2702,1.0909090909090908
23,real_acc_0031.png,população,til,,,,acerto,0.64539,0.4444444444444444
24,real_acc_0091.png,têm,circunflexo,,,,degradacao_com_diacritico,0.41384,2.0
25,real_acc_0057.png,banalização,cedilha,,,,omissao_do_acento,0.0,0.36363636363636365
26,real_acc_0050.png,intensificação,til,,,,acerto,0.869,0.35714285714285715
27,real_acc_0002.png,vivência,circunflexo,,,,degradacao_com_diacritico,0.24808,1.125
28,real_acc_0026.png,precários,agudo,,,,degradacao_com_diacritico,0.16357,0.5555555555555556
29,real_acc_0095.png,ausência,circunflexo,,,,acerto,0.66746,0.125
30,real_acc_0001.png,elucidação,til,,,,omissao_do_acento,0.0801,0.2
31,real_acc_0040.png,disponibilização,til,,,,acerto,0.38554,0.5
32,real_acc_0000.png,psicólogos,agudo,,,,degradacao_com_diacritico,0.94355,0.8
33,real_acc_0036.png,irrisórios,agudo,,,,degradacao_com_diacritico,0.27148,0.6
34,real_acc_0020.png,ausência,circunflexo,,,,acerto,0.3198,0.375
35,real_acc_0014.png,psíquico,agudo,,,,degradacao_com_diacritico,0.52841,1.375
36,real_acc_0115.png,aceitação,cedilha,,,,omissao_do_acento,0.05471,0.2222222222222222
37,real_acc_0096.png,depressão,til,,,,degradacao_sem_diacritico,0.04927,0.6666666666666666
